Année de production;Production de biométhane annuel (MWh/an);Commune;Code INSEE EPCI;Région;Département;Coordonnées du site;Production de biométhane annuel (kWh/an);Production de biométhane annuel (GWh/an);Capacité théorique de production (GWh/an);Code INSEE Région;Code INSEE Commune;Type de site;Code INSEE Département;Date de mise en service;Code Technique du Site;EPCI;Reseau;Type de Réseau;Nom du site officiel
2021;35919.46950700001;Ormes;200071777;Grand Est;Aube;48.555534468, 4.1130717526;35919469;35.91946950700001;46.4776;44;10272;Agricole territorial;10;2019-05-07;IR0108;CC d'Arcis, Mailly, Ramerupt;GRTgaz;Transport;Biogaz d'Arcis
2021;38237.897008000014;Haraucourt-sur-Seille;245701206;Grand Est;Moselle;48.8084972349, 6.60564803108;38237897;38.23789700800002;40.221;44;57295;Agricole autonome;57;2019-11-07;IR0110;CC du Saulnois;GRTgaz;Transport;Méthanisation Seille Environnement
2021;26589.79725600002;Azerailles;200070324;Grand Est;Meurthe-et-Moselle;48.4972745986, 6.6948706717;26589797;26.58979725600002;25.0264;44;54038;Agricole autonome;54;2020-11-04;IR0115;CC du Territoire de Lunéville à Baccarat;GRTgaz;Transport;Meurthenergie
2021;18239.263182000002;Les Grandes-Chapelles;200070126;Grand Est;Aube;48.4684641557, 4.02789249999;18239263;18.239263182000006;22.345;44;10166;Agricole autonome;10;2021-02-02;IR0123;CC Seine et Aube;GRTgaz;Transport;Cappela Gaz (litwin-Simphal)
2021;7007.459043999999;Phalsbourg;245700950;Grand Est;Moselle;48.7666597988, 7.26359977418;7007459;7.007459043999999;15.6415;44;57540;Agricole autonome;57;2021-05-06;IR0126;CC du Pays de Phalsbourg;GRTgaz;Transport;Methaphals
2021;13927.029028999987;Les Grandes-Chapelles;200070126;Grand Est;Aube;48.4684641557, 4.02789249999;13927029;13.927029028999986;17.16096;44;10166;Agricole autonome;10;2021-03-01;IR0128;CC Seine et Aube;GRTgaz;Transport;Bio'Gaz GDC
2021;13886.559362000004;Coulombs-en-Valois;247700065;Île-de-France;Seine-et-Marne;49.0777461945, 3.12814777064;13886559;13.886559362000003;15.1946;11;77129;Agricole autonome;77;2021-02-17;IR0130;CC du Pays de l'Ourcq;GRTgaz;Transport;Bioénergies de l'Ourcq
2021;11534.369252000008;May-en-Multien;247700065;Île-de-France;Seine-et-Marne;49.0699868201, 3.02518523427;11534369;11.534369252000008;26.814;11;77283;Agricole autonome;77;2021-06-03;IR0135;CC du Pays de l'Ourcq;GRTgaz;Transport;Biogaz du Multien
2021;2335.3606089999994;Saint-Ciergues;200072999;Grand Est;Haute-Marne;47.8811134277, 5.2558356921;2335360;2.3353606089999994;22.345;44;52447;Agricole autonome;52;2021-11-18;IR0147;CC du Grand Langres;GRTgaz;Transport;Methacom
2020;7574.8615668;Préchacq-Navarrenx;200067288;Nouvelle-Aquitaine;Pyrénées-Atlantiques;43.2799895089, -0.705497036287;7574861;7.5748615668;8.938;75;64459;Agricole territorial;64;2018-10-22;PITPE-0002;CC du Béarn des Gaves;Teréga;Transport;Methalayou
2019;18676.284;Noyen-sur-Seine;200040251;Île-de-France;Seine-et-Marne;48.4518691045, 3.34226623535;18676284;18.676284;22.345;11;77341;Agricole autonome;77;2017-11-15;IR0102;CC Bassée-Montois;GRTgaz;Transport;La Bassée Biogaz
2020;27279.31537400001;Ormes;200071777;Grand Est;Aube;48.555534468, 4.1130717526;27279315;27.27931537400001;46.4776;44;10272;Agricole territorial;10;2019-05-07;IR0108;CC d'Arcis, Mailly, Ramerupt;GRTgaz;Transport;Biogaz d'Arcis
2020;36616.793730000005;Haraucourt-sur-Seille;245701206;Grand Est;Moselle;48.8084972349, 6.60564803108;36616793;36.616793730000005;40.221;44;57295;Agricole autonome;57;2019-11-07;IR0110;CC du Saulnois;GRTgaz;Transport;Méthanisation Seille Environnement
